company,ticker,sector,fiscal_year,is_fraud_case,label,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,beneish_m_score,cfo_to_ni,cfo_divergence,related_party_pct_revenue,related_party_yoy_change,auditor_changed,promoter_pledge_pct,results_filing_delay_days
Aviation Peer 1 (matched to Kingfisher Airlines),KFAIRLINES_PEER1,Aviation,2008,0,0,1.3856728071512263,0.9809720198258745,1.1846793981631987,1.1296918764775215,0.7719112328144282,0.8101152328858985,-5.9040561723540204e-05,0.8100188439948135,-1.8766546013342524,1.0005019784097258,-5.9040561723540204e-05,0.029083932972673,0.0035746891637376023,0,0.0563433488147921,0
Aviation Peer 1 (matched to Kingfisher Airlines),KFAIRLINES_PEER1,Aviation,2009,0,0,1.0292369088837081,1.1623833800390844,1.0456507282225247,1.0851792551740536,1.2151987605613752,1.3585119437742597,-0.0002442066491159083,1.2143188300976406,-2.381081926566952,1.0057990649536799,-0.0002442066491159083,0.0427743044855609,0.013690371512887902,0,0.0985503167979594,0
Aviation Peer 1 (matched to Kingfisher Airlines),KFAIRLINES_PEER1,Aviation,2010,0,0,1.1141078537650901,0.8348994197363292,0.7642035059178861,1.0467133193549234,0.8146349062503746,0.9055680284253773,0.007095818202915181,0.8323896270970941,-2.4328521450195986,0.9107822279968979,0.007095818202915181,0.0110997925023639,-0.031674511983197005,0,0.0,0
Aviation Peer 1 (matched to Kingfisher Airlines),KFAIRLINES_PEER1,Aviation,2011,0,0,0.9253650075236562,1.007454989511784,1.2398447240070074,1.0802150657424576,0.9379691287354445,0.7710975263126969,0.00101372555349464,1.181901892138993,-2.3987798730607675,0.9896896566471028,0.00101372555349464,0.0236633293365004,0.012563536834136501,0,0.035585727093634,3
Aviation Peer 2 (matched to Kingfisher Airlines),KFAIRLINES_PEER2,Aviation,2008,0,0,0.7277382590436418,0.924056745627454,1.4247384325001384,1.0991841223161825,0.9730659345175009,1.94919996285689,0.011879460068734313,0.9674349504112502,-2.6106393224172058,0.8946584205598149,0.011879460068734313,0.0350202925184313,0.019935700780003,0,0.0874728507703281,3
Aviation Peer 2 (matched to Kingfisher Airlines),KFAIRLINES_PEER2,Aviation,2009,0,0,1.3708585226135273,1.0200463402806381,1.0045326581953353,1.1267785957141299,1.0943600061254013,0.8458404038109096,0.012739839865152532,1.4424255579316971,-2.0610045857051302,0.8701581125364897,0.012739839865152532,0.0164773496505023,-0.018542942867929,0,0.0740167147940689,9
Aviation Peer 2 (matched to Kingfisher Airlines),KFAIRLINES_PEER2,Aviation,2010,0,0,0.8465362031891287,0.9252185999999706,0.8632981245308919,1.1603111580347778,1.067419102869795,1.1939786624563444,0.027925198112616484,0.805139305841118,-2.4041309611420925,0.7548600289141907,0.027925198112616484,0.0250444464766246,0.008567096826122299,0,0.0150489073448036,2
Aviation Peer 2 (matched to Kingfisher Airlines),KFAIRLINES_PEER2,Aviation,2011,0,0,1.2586768450866166,1.1580507648843201,0.7169907824344459,1.1556101312377713,0.8153299858088277,0.8043231574083005,0.005123158063169158,1.175289130073917,-2.1550269091565983,0.9464003833885594,0.005123158063169158,0.0003915440153046,-0.02465290246132,0,0.0852984873349408,0
Aviation Peer 3 (matched to Kingfisher Airlines),KFAIRLINES_PEER3,Aviation,2008,0,0,1.0089656825311302,1.1275813084877087,0.7677773774255519,1.0745014470103138,0.8221231822615513,0.691888677903987,-0.007006492192339532,0.8554523597267982,-2.3847282752147536,1.07399124529033,-0.007006492192339532,0.0156426991183326,0.0009998478460267,0,0.0550468395867577,5
Aviation Peer 3 (matched to Kingfisher Airlines),KFAIRLINES_PEER3,Aviation,2009,0,0,1.1064517316076992,0.6853308320760797,1.6154786710370828,1.0636064285693212,1.2325987772046414,1.1896400202356672,0.00454716866980344,0.9041338734566304,-2.1960642087182394,0.9721131491403004,0.00454716866980344,0.0299553932816268,0.014312694163294198,0,0.0435131898405748,2
Aviation Peer 3 (matched to Kingfisher Airlines),KFAIRLINES_PEER3,Aviation,2010,0,0,0.9351901441154982,1.1452734253883985,1.1889553482183508,1.092323599316812,0.9089794428129065,0.9272064780211253,0.01000052362195021,1.2170426694002152,-2.3263574687007718,0.917746985845596,0.01000052362195021,0.0254113083821804,-0.0045440848994464,0,0.0086207879632669,0
Aviation Peer 3 (matched to Kingfisher Airlines),KFAIRLINES_PEER3,Aviation,2011,0,0,1.0056228295732952,1.0477304991416636,0.6897777138849461,1.1026680977429097,1.2478300713089407,1.3912904310586962,0.006552086878291607,0.8805844306245684,-2.4524705439018506,0.9147593711321604,0.006552086878291607,0.0332250433152312,0.007813734933050799,0,0.0830973794715258,2
DHFL,DHFL,Housing Finance NBFC,2015,1,0,1.1809389853239394,1.0222720355622252,1.5685995508687833,1.0871622535391283,0.78152440726435,1.168829250769457,-0.00439712444615832,0.7893757278917483,-2.000176882618353,1.0547640547888422,-0.00439712444615832,0.0039774045894107,-0.007800095237686,0,0.0,0
DHFL,DHFL,Housing Finance NBFC,2016,1,0,1.0571303464301651,1.0875053521282592,0.8292101162256943,1.1425505475986484,1.0307161469095565,0.8786561923145817,-0.0008035735617800253,1.0761280190516045,-2.3273315710563045,1.010810646830068,-0.0008035735617800253,0.0222921137411506,0.0183147091517399,0,0.0765032352800733,0
DHFL,DHFL,Housing Finance NBFC,2017,1,1,0.7845253262151195,0.9156507172914823,1.2983267145467496,1.1809124631336132,1.0063987793091569,0.8897702706705682,0.015403154983527761,0.6356398936707853,-2.2299627213573223,0.8450887790417743,0.015403154983527761,0.0154157056938026,-0.006876408047348001,0,0.0160867779922411,4
DHFL,DHFL,Housing Finance NBFC,2018,1,1,1.3302174626339365,0.9775015417705697,0.8064169623030888,1.1726804119873133,1.4563802400498134,0.7939514637047,0.11305048926257424,1.6160299346501645,-1.6968102135812853,0.18950588291722784,0.11305048926257424,0.1117858721714127,0.0963701664776101,1,0.1074990615645149,15
FMCG Beverages Peer 1 (matched to Manpasand Beverages),MANPASAND_PEER1,FMCG Beverages,2015,0,0,0.9407584492817666,1.195322258746512,1.34991951561778,1.0716228898743252,1.3122010886178697,0.8057162741174315,0.014910715609830621,0.8314120264363035,-2.031901540228552,0.8582534334266047,0.014910715609830621,0.0105977879107428,0.006268370413097199,0,0.0182593418014271,0
FMCG Beverages Peer 1 (matched to Manpasand Beverages),MANPASAND_PEER1,FMCG Beverages,2016,0,0,0.9469172226212793,0.9480883623923826,0.8077455577678518,1.1399689170880343,1.1888543236526583,1.4553611405692701,-0.003296989591875816,1.0713860442189684,-2.6044377401823544,1.0323024735796407,-0.003296989591875816,0.0,-0.0105977879107428,0,0.067286328990079,5
FMCG Beverages Peer 1 (matched to Manpasand Beverages),MANPASAND_PEER1,FMCG Beverages,2017,0,0,0.67801364295015,1.0319981987672464,1.1074355638697337,1.042506092223466,0.8944851007839091,0.9733252953825999,0.014965512523054326,0.8084973653367297,-2.5529141670554494,0.8372024237532898,0.014965512523054326,0.0182616229990538,0.0182616229990538,0,0.0135211402932176,3
FMCG Beverages Peer 1 (matched to Manpasand Beverages),MANPASAND_PEER1,FMCG Beverages,2018,0,0,1.4047997548408329,0.942065336580229,1.3695991292775578,1.0727894125091981,0.8842787568275458,0.9649853802472569,-0.0060255798864162526,1.0979038273377297,-1.9914211918410742,1.0586496876693805,-0.0060255798864162526,0.0250807910519906,0.006819168052936801,0,0.0597631515739886,1
FMCG Beverages Peer 2 (matched to Manpasand Beverages),MANPASAND_PEER2,FMCG Beverages,2015,0,0,1.1026480264506942,0.8984937473175757,1.1583768638170864,1.121528762523613,1.8080429302461183,1.0835430455565942,0.004378469899134252,0.8383230178121106,-2.114860440952457,0.9506625527966343,0.004378469899134252,0.0179621813887545,-0.0133583414953872,0,0.0,3
FMCG Beverages Peer 2 (matched to Manpasand Beverages),MANPASAND_PEER2,FMCG Beverages,2016,0,0,1.148638565507718,1.3676785733504606,0.7264170653466526,1.0999050350006208,1.0781039943433568,0.9393248306127204,0.00034167583400253706,1.126658710727075,-2.1909310560796125,0.9929037575344714,0.00034167583400253706,0.0161437001847683,-0.0018184812039862032,0,0.0381776790017743,0
FMCG Beverages Peer 2 (matched to Manpasand Beverages),MANPASAND_PEER2,FMCG Beverages,2017,0,0,0.7524767698700271,0.7302219750757195,1.522803530259329,1.1082968551582222,0.6864944230433999,0.637775722247622,0.0040138063376749435,0.8108214423078826,-2.435459325210988,0.9679173942698758,0.0040138063376749435,0.0200199935641508,0.0038762933793825005,0,0.0640977933697078,0
FMCG Beverages Peer 2 (matched to Manpasand Beverages),MANPASAND_PEER2,FMCG Beverages,2018,0,0,0.9253731227809243,1.0482100746837257,0.8103343480725806,1.1131439482446015,1.1015956157393785,1.0381500711448637,0.02068175285401469,0.9576772320133082,-2.38317117884434,0.8299464477774529,0.02068175285401469,0.0097458987222209,-0.010274094841929898,0,0.023109432682143,5
FMCG Beverages Peer 3 (matched to Manpasand Beverages),MANPASAND_PEER3,FMCG Beverages,2015,0,0,1.0099508960852321,1.0721434636123186,0.8728703691736446,1.1356085463731502,0.7135983822018499,0.6723699496090084,-0.00019306923214625822,0.44711306273218193,-2.159844134133452,1.0012792575515979,-0.00019306923214625822,0.018868315902711,-0.003168015884387001,0,0.0,2
