company,ticker,sector,risk_score_real_model,DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI
Ricoh India,RICOH,Office Equipment/IT Services,0.025519416311239617,1.3512005117851449,0.8975454862046354,1.1934977577264334,1.157315383745122,1.3148433737619185,0.6536952831857352,0.1125833365414777,0.9425597825258
Healthcare Peer 2 (matched to Fortis Healthcare),FORTIS_PEER2,Healthcare,0.020974142039157557,1.4883716280811696,0.7906629390358563,1.0396308517884227,1.09417425783496,1.3520792854856538,0.9756076599326996,0.0048034932138842,0.7973590212357371
Jewellery Retail Peer 2 (matched to PC Jeweller),PCJEWELLER_PEER2,Jewellery Retail,0.020974142039157557,1.4104892081840616,0.9346071438637934,0.941201766019454,1.1726311812481305,1.2369444479871818,0.9673981084507528,0.016125991912131,0.6930945381315118
IL&FS,ILFS,Infrastructure Finance,0.019493258446390792,1.1020422541969042,0.9990691670550136,1.3541462269685358,1.196694954849352,0.9940993007601586,0.9514201640233728,0.0087753918770264,1.0375298534389263
DHFL,DHFL,Housing Finance NBFC,0.018039798697782248,1.3302174626339365,0.9775015417705696,0.8064169623030888,1.172680411987313,1.4563802400498134,0.7939514637047,0.1130504892625742,1.6160299346501643
FMCG Beverages Peer 1 (matched to Manpasand Beverages),MANPASAND_PEER1,FMCG Beverages,0.01495979690852104,1.4047997548408329,0.942065336580229,1.3695991292775578,1.072789412509198,0.8842787568275458,0.9649853802472568,-0.0060255798864162,1.0979038273377295
Sintex Industries,SINTEX,Textiles/Plastics,0.012451867426941128,1.703274102555203,1.1422704117197846,0.9030297810771326,1.1217835643654503,0.6899696151693185,1.2651022642288785,0.0679693919173603,1.012751691967122
Aviation Peer 2 (matched to Kingfisher Airlines),KFAIRLINES_PEER2,Aviation,0.008646698023480677,1.2586768450866166,1.15805076488432,0.7169907824344459,1.1556101312377711,0.8153299858088277,0.8043231574083005,0.0051231580631691,1.175289130073917
Financial Services Peer 3 (matched to Religare Enterprises),RELIGARE_PEER3,Financial Services,0.00746308764552758,1.2664951892061251,1.189039470000819,0.9789222955479724,1.1493166482584705,0.6757004201027748,0.7014249951306738,0.0136371918804882,1.439040079018435
Office Equipment/IT Services Peer 2 (matched to Ricoh India),RICOH_PEER2,Office Equipment/IT Services,0.003463059467749923,1.1676296547710678,1.380971353519218,0.9763286166407508,1.1064554421898734,1.747316353698773,0.9859368014408584,-0.0006200765355511,0.9509355203190992
Vakrangee,VAKRANGEE,Retail/E-Governance,0.0030305884889868335,1.2060043260111657,0.8948043897915056,1.2929394887459669,1.2026417596068846,0.7986519661341989,1.2526047671379468,0.0464128875773002,0.7696676695561351
